               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11505,            0.028188,                   0,           0.0047199,            0.010542,          0.00032998,          6.9159e-05,              0.1223,            0.025597,                   0,           0.0032828,           0.0032828,            0.070455
                   1,            0.084617,            0.027461,                   0,             0.37814,             0.33434,             0.24357,            0.049666,            0.073101,            0.026975,                   0,           0.0065632,           0.0065632,            0.040402
                   2,            0.071529,             0.02417,                   0,             0.35505,             0.35994,              0.2261,            0.050626,            0.069678,            0.042274,                   0,           0.0097903,           0.0097903,            0.010295
                   3,             0.06888,            0.021904,                   0,             0.61133,             0.45006,             0.44044,             0.12814,            0.064859,            0.028079,                   0,             0.00976,             0.00976,             0.00976
                   4,            0.060177,            0.020444,                   0,             0.67886,             0.56476,             0.58126,             0.15915,            0.059163,            0.021018,                   0,             0.00976,             0.00976,             0.00976
                   5,            0.055434,            0.019144,                   0,              0.7429,             0.67015,             0.67695,             0.21147,              0.0537,            0.020072,                   0,             0.00968,             0.00968,             0.00968
                   6,            0.052044,            0.018228,                   0,              0.8432,              0.7289,             0.76239,             0.30924,            0.046243,            0.019577,                   0,              0.0096,              0.0096,              0.0096
                   7,            0.049477,            0.017957,                   0,             0.84408,             0.73645,             0.78881,             0.32662,            0.045435,            0.018222,                   0,             0.00952,             0.00952,             0.00952
                   8,            0.047896,            0.016816,                   0,              0.8349,             0.74247,             0.79128,             0.31584,            0.045292,            0.017896,                   0,             0.00944,             0.00944,             0.00944
                   9,            0.045921,            0.016662,                   0,             0.88951,             0.78812,             0.84107,             0.34786,            0.045688,            0.017165,                   0,             0.00936,             0.00936,             0.00936
                  10,            0.045823,            0.016194,                   0,             0.89342,             0.78313,             0.84439,             0.39297,            0.040342,             0.01717,                   0,             0.00928,             0.00928,             0.00928
                  11,            0.043142,            0.015198,                   0,             0.90147,              0.7756,             0.84809,              0.3767,            0.043113,            0.016326,                   0,              0.0092,              0.0092,              0.0092
                  12,            0.042749,            0.015341,                   0,             0.92149,             0.81312,             0.87534,             0.42136,            0.039347,            0.016126,                   0,             0.00912,             0.00912,             0.00912
                  13,            0.041348,            0.015073,                   0,             0.89896,             0.80394,             0.86536,              0.4193,            0.038322,            0.015893,                   0,             0.00904,             0.00904,             0.00904
                  14,            0.040335,            0.015021,                   0,             0.90249,              0.8253,             0.88321,             0.43778,            0.038275,            0.015402,                   0,             0.00896,             0.00896,             0.00896
                  15,            0.041341,            0.014935,                   0,             0.91578,             0.80271,             0.87367,             0.42742,            0.039041,            0.016008,                   0,             0.00888,             0.00888,             0.00888
                  16,            0.040587,            0.014573,                   0,             0.90277,             0.82497,             0.88166,             0.41975,            0.038067,            0.016156,                   0,              0.0088,              0.0088,              0.0088
                  17,            0.039246,            0.014315,                   0,             0.91432,             0.81968,             0.89022,             0.43401,            0.037553,            0.015227,                   0,             0.00872,             0.00872,             0.00872
                  18,             0.03887,            0.014005,                   0,             0.93071,             0.85241,             0.90226,             0.46904,            0.036836,            0.014962,                   0,             0.00864,             0.00864,             0.00864
                  19,            0.038336,            0.014202,                   0,             0.91116,             0.83434,             0.88755,             0.44034,            0.038521,            0.015165,                   0,             0.00856,             0.00856,             0.00856
                  20,            0.038161,            0.013989,                   0,             0.93243,             0.83123,              0.9026,             0.45569,            0.037374,            0.014787,                   0,             0.00848,             0.00848,             0.00848
                  21,            0.037489,             0.01377,                   0,             0.92052,             0.85542,             0.90529,              0.4768,            0.035537,            0.014621,                   0,              0.0084,              0.0084,              0.0084
                  22,            0.036335,            0.013416,                   0,             0.93825,              0.8494,             0.90993,              0.4565,            0.036474,            0.014761,                   0,             0.00832,             0.00832,             0.00832
                  23,            0.037073,            0.013497,                   0,             0.92524,             0.83886,             0.89506,             0.47639,            0.035734,            0.014719,                   0,             0.00824,             0.00824,             0.00824
                  24,            0.035291,            0.013284,                   0,             0.92221,             0.87952,             0.91132,             0.47659,             0.03561,            0.014668,                   0,             0.00816,             0.00816,             0.00816
