               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11791,            0.021903,                   0,            0.041226,             0.04441,           0.0080218,           0.0019309,             0.09931,            0.027518,                   0,           0.0033081,           0.0033081,            0.070227
                   1,            0.087263,            0.023311,                   0,             0.34505,              0.2372,             0.17731,            0.037799,            0.079472,            0.021854,                   0,           0.0064643,           0.0064643,             0.04005
                   2,            0.078836,            0.021177,                   0,             0.56538,              0.3546,             0.34871,            0.089725,            0.073342,            0.021234,                   0,           0.0094428,           0.0094428,           0.0096953
                   3,            0.071499,             0.01955,                   0,             0.62671,             0.51455,             0.50492,             0.15298,            0.059658,            0.020814,                   0,              0.0092,              0.0092,              0.0092
                   4,            0.061839,             0.01858,                   0,             0.70554,             0.57274,             0.59856,             0.20931,             0.05842,            0.018266,                   0,              0.0092,              0.0092,              0.0092
                   5,             0.05996,            0.017538,                   0,             0.77562,             0.63525,             0.67975,              0.2462,            0.053237,            0.016711,                   0,           0.0089333,           0.0089333,           0.0089333
                   6,            0.054614,            0.016761,                   0,             0.83856,             0.67688,             0.72286,             0.28324,            0.048203,             0.01626,                   0,           0.0086667,           0.0086667,           0.0086667
                   7,            0.051734,            0.016223,                   0,             0.83915,             0.65544,             0.71284,             0.28507,            0.050301,            0.015825,                   0,              0.0084,              0.0084,              0.0084
                   8,            0.050889,            0.015937,                   0,              0.8737,             0.69066,             0.74991,             0.30913,            0.045941,            0.015623,                   0,           0.0081333,           0.0081333,           0.0081333
                   9,            0.048325,            0.015457,                   0,              0.8645,             0.69372,             0.75077,             0.30232,            0.045467,            0.015144,                   0,           0.0078667,           0.0078667,           0.0078667
                  10,            0.047557,            0.015224,                   0,             0.84414,             0.72989,             0.77752,             0.33381,            0.042506,            0.014744,                   0,              0.0076,              0.0076,              0.0076
                  11,             0.04475,            0.014433,                   0,             0.87627,             0.71669,             0.77864,             0.32072,            0.044231,            0.014511,                   0,           0.0073333,           0.0073333,           0.0073333
                  12,            0.044681,            0.014598,                   0,             0.88859,             0.74579,             0.80854,             0.35331,            0.040243,            0.014362,                   0,           0.0070667,           0.0070667,           0.0070667
                  13,            0.044517,            0.014234,                   0,              0.8366,             0.74732,             0.78165,             0.31384,            0.043119,            0.014085,                   0,              0.0068,              0.0068,              0.0068
                  14,            0.043638,            0.014225,                   0,             0.89348,             0.75804,             0.81438,             0.36385,            0.039572,             0.01389,                   0,           0.0065333,           0.0065333,           0.0065333
                  15,            0.042711,            0.013997,                   0,             0.90214,             0.78101,             0.83621,             0.39023,            0.038767,            0.013397,                   0,           0.0062667,           0.0062667,           0.0062667
                  16,            0.041496,            0.013506,                   0,              0.8984,             0.78541,             0.83965,             0.38903,            0.036204,            0.013343,                   0,               0.006,               0.006,               0.006
                  17,            0.039922,             0.01339,                   0,             0.90079,             0.78101,             0.84203,             0.37425,             0.03782,            0.013335,                   0,           0.0057333,           0.0057333,           0.0057333
                  18,            0.040118,             0.01313,                   0,             0.91268,              0.7856,             0.83123,             0.38605,            0.036907,            0.013121,                   0,           0.0054667,           0.0054667,           0.0054667
                  19,            0.039222,            0.013222,                   0,             0.93681,             0.77642,             0.84861,             0.41561,            0.035854,            0.013167,                   0,              0.0052,              0.0052,              0.0052
                  20,            0.038379,             0.01282,                   0,             0.89373,             0.82542,             0.87218,             0.41351,            0.035565,            0.012861,                   0,           0.0049333,           0.0049333,           0.0049333
                  21,            0.037705,            0.012953,                   0,             0.90533,             0.80545,             0.85402,             0.42486,            0.034318,            0.012635,                   0,           0.0046667,           0.0046667,           0.0046667
                  22,            0.037567,            0.012463,                   0,             0.93736,             0.80245,             0.88519,             0.43318,            0.034941,            0.012409,                   0,              0.0044,              0.0044,              0.0044
                  23,            0.037854,            0.012499,                   0,             0.91063,             0.83155,             0.87696,             0.43437,            0.034126,            0.012247,                   0,           0.0041333,           0.0041333,           0.0041333
                  24,             0.03647,            0.012492,                   0,             0.93896,             0.80551,             0.86833,             0.42718,            0.034166,            0.012212,                   0,           0.0038667,           0.0038667,           0.0038667
                  25,            0.034966,            0.012129,                   0,             0.94413,             0.80226,             0.88301,             0.44037,            0.032792,            0.012023,                   0,              0.0036,              0.0036,              0.0036
                  26,            0.034752,            0.011951,                   0,             0.93293,             0.81011,             0.87888,             0.44687,            0.033646,            0.012008,                   0,           0.0033333,           0.0033333,           0.0033333
                  27,            0.035156,            0.012095,                   0,             0.94395,             0.82542,             0.89432,             0.45749,            0.032483,            0.011714,                   0,           0.0030667,           0.0030667,           0.0030667
                  28,            0.034935,            0.012035,                   0,             0.95732,             0.79173,             0.87503,             0.45336,            0.033417,            0.011975,                   0,              0.0028,              0.0028,              0.0028
                  29,            0.034539,            0.011693,                   0,             0.93728,             0.82695,             0.89305,             0.45794,            0.032874,            0.011794,                   0,           0.0025333,           0.0025333,           0.0025333
