               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11333,            0.028349,                   0,           0.0061474,            0.050536,           0.0015344,          0.00030757,             0.11758,            0.027987,                   0,           0.0032828,           0.0032828,            0.070455
                   1,             0.08447,            0.027177,                   0,             0.36868,             0.34252,             0.23219,            0.050342,            0.078582,            0.023848,                   0,           0.0064397,           0.0064397,            0.040278
                   2,            0.071563,            0.023842,                   0,             0.47903,              0.3951,             0.33694,            0.084896,            0.072772,            0.023433,                   0,           0.0094189,           0.0094189,           0.0099239
                   3,            0.066389,            0.022537,                   0,              0.7306,             0.56662,             0.59368,             0.16682,            0.061585,            0.021817,                   0,              0.0092,              0.0092,              0.0092
                   4,            0.058993,            0.020032,                   0,             0.73807,              0.5513,             0.59155,             0.19291,            0.055129,            0.030839,                   0,              0.0092,              0.0092,              0.0092
                   5,            0.054443,            0.019085,                   0,             0.79916,             0.69525,             0.72529,             0.27193,            0.051452,            0.019209,                   0,           0.0089333,           0.0089333,           0.0089333
                   6,            0.050373,             0.01804,                   0,             0.84787,             0.74273,             0.79455,             0.33453,            0.047484,            0.019043,                   0,           0.0086667,           0.0086667,           0.0086667
                   7,            0.047863,            0.017629,                   0,             0.90165,             0.74413,             0.82353,              0.3513,            0.046626,            0.017094,                   0,              0.0084,              0.0084,              0.0084
                   8,            0.046381,            0.016871,                   0,             0.88752,              0.7856,             0.83995,             0.36621,            0.042307,            0.016645,                   0,           0.0081333,           0.0081333,           0.0081333
                   9,            0.044967,            0.016435,                   0,             0.86827,             0.79786,             0.84292,             0.39147,            0.043347,             0.01595,                   0,           0.0078667,           0.0078667,           0.0078667
                  10,            0.044219,            0.016088,                   0,             0.89202,             0.79939,             0.85865,             0.39124,            0.041305,            0.015866,                   0,              0.0076,              0.0076,              0.0076
                  11,            0.042115,            0.015312,                   0,             0.92981,             0.79173,              0.8753,             0.41646,            0.039105,            0.015648,                   0,           0.0073333,           0.0073333,           0.0073333
                  12,            0.041314,            0.015327,                   0,             0.93459,             0.78867,             0.86866,              0.3891,            0.041006,            0.015464,                   0,           0.0070667,           0.0070667,           0.0070667
                  13,            0.040276,            0.014868,                   0,              0.9038,             0.83449,             0.88578,             0.41169,            0.039818,            0.014884,                   0,              0.0068,              0.0068,              0.0068
                  14,            0.039878,             0.01492,                   0,             0.92009,             0.79939,             0.87013,             0.39037,            0.040161,            0.015147,                   0,           0.0065333,           0.0065333,           0.0065333
                  15,            0.039794,            0.014991,                   0,              0.9219,             0.83461,             0.89143,             0.44624,            0.037049,            0.014901,                   0,           0.0062667,           0.0062667,           0.0062667
                  16,            0.038113,            0.014452,                   0,             0.93216,             0.84166,              0.8951,             0.43828,            0.036772,            0.014607,                   0,               0.006,               0.006,               0.006
                  17,            0.037069,            0.014167,                   0,             0.94764,             0.83461,             0.90884,             0.45581,            0.035878,            0.014295,                   0,           0.0057333,           0.0057333,           0.0057333
                  18,            0.036315,            0.013881,                   0,             0.92512,             0.85145,               0.907,             0.46745,            0.036291,            0.014378,                   0,           0.0054667,           0.0054667,           0.0054667
                  19,            0.035731,            0.014061,                   0,             0.95296,             0.83766,             0.90483,             0.47751,            0.033776,             0.01442,                   0,              0.0052,              0.0052,              0.0052
                  20,            0.034263,            0.013461,                   0,              0.9283,             0.86217,             0.90589,             0.47827,             0.03366,            0.013926,                   0,           0.0049333,           0.0049333,           0.0049333
                  21,             0.03447,            0.013629,                   0,             0.89461,             0.87289,             0.90567,             0.49453,            0.032687,             0.01379,                   0,           0.0046667,           0.0046667,           0.0046667
                  22,            0.033051,             0.01299,                   0,             0.93816,             0.84533,             0.91102,             0.49145,             0.03293,            0.013774,                   0,              0.0044,              0.0044,              0.0044
                  23,            0.034394,            0.013414,                   0,             0.93179,             0.88055,              0.9126,             0.48396,            0.034584,            0.013535,                   0,           0.0041333,           0.0041333,           0.0041333
                  24,            0.033519,             0.01332,                   0,             0.94394,             0.85145,             0.91645,             0.49302,            0.032504,            0.013348,                   0,           0.0038667,           0.0038667,           0.0038667
                  25,            0.032793,            0.012948,                   0,             0.93648,             0.86217,             0.92081,             0.49258,             0.03254,            0.013157,                   0,              0.0036,              0.0036,              0.0036
                  26,             0.03253,            0.012895,                   0,             0.93583,             0.87105,             0.92116,             0.49465,            0.032334,            0.013377,                   0,           0.0033333,           0.0033333,           0.0033333
                  27,            0.032171,            0.012806,                   0,             0.95262,             0.86217,             0.92441,             0.50531,            0.032177,            0.013294,                   0,           0.0030667,           0.0030667,           0.0030667
                  28,            0.032131,            0.012922,                   0,             0.94229,             0.87902,             0.92168,             0.50962,            0.031781,            0.013127,                   0,              0.0028,              0.0028,              0.0028
                  29,             0.03152,            0.012415,                   0,              0.9433,              0.8683,             0.92856,             0.52326,            0.030974,            0.012911,                   0,           0.0025333,           0.0025333,           0.0025333
