               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11104,            0.036951,                   0,            0.073233,            0.075038,            0.013153,           0.0024596,             0.11357,            0.032024,                   0,           0.0032828,           0.0032828,            0.070455
                   1,            0.081862,            0.032551,                   0,             0.36235,             0.38132,             0.27315,            0.067837,            0.077102,              0.0328,                   0,           0.0064397,           0.0064397,            0.040278
                   2,            0.070372,            0.027796,                   0,             0.44457,             0.51761,             0.36324,            0.091075,            0.073119,            0.029258,                   0,           0.0094189,           0.0094189,           0.0099239
                   3,            0.064864,            0.024577,                   0,             0.81054,             0.64472,             0.72168,             0.25874,            0.051039,            0.026111,                   0,              0.0092,              0.0092,              0.0092
                   4,            0.055198,            0.022726,                   0,             0.79859,             0.69828,             0.74875,             0.24963,            0.048381,            0.022537,                   0,              0.0092,              0.0092,              0.0092
                   5,            0.051204,            0.021039,                   0,               0.875,             0.77181,             0.82792,             0.33402,            0.046262,            0.021234,                   0,           0.0089333,           0.0089333,           0.0089333
                   6,            0.047536,            0.019799,                   0,             0.92393,             0.80092,              0.8652,             0.38342,            0.046676,            0.018636,                   0,           0.0086667,           0.0086667,           0.0086667
                   7,            0.046793,            0.019306,                   0,             0.88336,             0.82542,             0.87354,             0.38859,            0.042384,            0.018566,                   0,              0.0084,              0.0084,              0.0084
                   8,            0.043035,            0.018157,                   0,               0.898,             0.81011,             0.87906,             0.40857,            0.039698,            0.018026,                   0,           0.0081333,           0.0081333,           0.0081333
                   9,            0.042203,            0.017877,                   0,             0.90674,             0.82083,             0.88735,             0.39305,            0.043269,             0.01691,                   0,           0.0078667,           0.0078667,           0.0078667
                  10,            0.042152,            0.017745,                   0,             0.91967,             0.84227,             0.90002,             0.45336,            0.037632,            0.016919,                   0,              0.0076,              0.0076,              0.0076
                  11,             0.03909,            0.016717,                   0,             0.92584,             0.86033,             0.91773,             0.47232,            0.036104,            0.016849,                   0,           0.0073333,           0.0073333,           0.0073333
                  12,            0.039025,            0.016744,                   0,             0.94867,             0.85145,             0.91902,             0.48205,            0.036327,            0.015859,                   0,           0.0070667,           0.0070667,           0.0070667
                  13,            0.037777,            0.016415,                   0,             0.92184,              0.8683,             0.91871,             0.48828,            0.035077,            0.015686,                   0,              0.0068,              0.0068,              0.0068
                  14,            0.037129,            0.016545,                   0,             0.91993,             0.88208,             0.92614,             0.49114,            0.034487,            0.015741,                   0,           0.0065333,           0.0065333,           0.0065333
                  15,            0.036541,            0.016408,                   0,             0.95278,             0.86519,             0.93331,             0.50397,             0.03466,            0.015955,                   0,           0.0062667,           0.0062667,           0.0062667
                  16,            0.035545,            0.015967,                   0,             0.94735,             0.88173,             0.93081,              0.5086,            0.032919,            0.015695,                   0,               0.006,               0.006,               0.006
                  17,            0.034082,            0.015495,                   0,              0.9471,             0.87743,             0.92865,             0.51133,            0.033152,            0.015911,                   0,           0.0057333,           0.0057333,           0.0057333
                  18,            0.034052,             0.01526,                   0,             0.95477,             0.87289,             0.93319,              0.5234,            0.032611,            0.015257,                   0,           0.0054667,           0.0054667,           0.0054667
                  19,             0.03328,            0.015456,                   0,             0.95206,             0.88203,             0.93394,             0.52421,            0.031753,            0.015108,                   0,              0.0052,              0.0052,              0.0052
                  20,            0.032077,            0.014882,                   0,             0.96242,             0.86983,             0.92932,             0.52604,            0.031643,            0.015191,                   0,           0.0049333,           0.0049333,           0.0049333
                  21,            0.031998,            0.014875,                   0,              0.9654,             0.86677,             0.94033,             0.53337,            0.032054,            0.014754,                   0,           0.0046667,           0.0046667,           0.0046667
                  22,            0.031298,            0.014408,                   0,             0.95833,             0.88361,             0.94334,             0.53282,            0.031476,            0.014535,                   0,              0.0044,              0.0044,              0.0044
                  23,            0.031702,            0.014943,                   0,             0.95609,              0.9004,             0.94158,             0.54756,            0.030826,            0.014456,                   0,           0.0041333,           0.0041333,           0.0041333
                  24,            0.030927,            0.014653,                   0,              0.9732,             0.88967,             0.94198,             0.54589,            0.030318,             0.01458,                   0,           0.0038667,           0.0038667,           0.0038667
                  25,            0.029897,            0.014235,                   0,             0.95382,             0.88668,             0.94403,             0.55657,            0.029942,            0.014186,                   0,              0.0036,              0.0036,              0.0036
                  26,            0.029491,            0.014177,                   0,             0.95622,             0.87596,             0.94142,             0.55543,            0.029784,            0.014241,                   0,           0.0033333,           0.0033333,           0.0033333
                  27,             0.02942,            0.013996,                   0,             0.95566,             0.89121,             0.94858,             0.55326,            0.030395,            0.014255,                   0,           0.0030667,           0.0030667,           0.0030667
                  28,            0.029309,            0.014383,                   0,             0.93898,             0.89587,             0.94529,               0.562,            0.029831,            0.014024,                   0,              0.0028,              0.0028,              0.0028
                  29,            0.028913,            0.013753,                   0,             0.96445,             0.87749,             0.94946,             0.57075,            0.029586,             0.01394,                   0,           0.0025333,           0.0025333,           0.0025333
